Sony WF-1000XM3,10 165,15 050,2021-11-10 11:21:08.120016
Sony WH-CH510,2 490,3 990,2021-11-10 11:21:08.336439
Sony WI-XB400,2 790,4 311,2021-11-10 11:21:08.480053
Sony WF-XB700,5 490,9 999,2021-11-10 11:21:08.551861
Sony MDR-EX650AP,2 800,4 490,2021-11-10 11:21:08.625663
Sony WH-CH710N,4 990,9 999,2021-11-10 11:21:08.693482
Sony WH-XB900N,12 250,17 990,2021-11-10 11:21:08.789226
Sony WI-C200,1 764,3 159,2021-11-10 11:21:08.849066
Sony MDR-7506,8 978,10 990,2021-11-10 11:21:08.905497
Sony Pulse 3D,7 176,14 550,2021-11-10 11:21:08.964339
Sony WI-C400,2 350,5 134,2021-11-10 11:21:09.030162
Sony MDR-XB550AP,2 560,4 990,2021-11-10 11:21:09.091997
Sony MDR-1AM2,13 490,17 990,2021-11-10 11:21:09.154020
Sony MDR-XB55AP,1 995,3 199,2021-11-10 11:21:09.220701
Sony MDR-EX450AP,2 290,3 790,2021-11-10 11:21:09.291075
Sony WI-SP510,2 626,5 035,2021-11-10 11:21:09.359543
Sony XBA-A1AP,6 390,7 120,2021-11-10 11:21:09.424342
Sony WH-XB700,no data,no data,2021-11-10 11:21:09.461645
Sony MDR-XB950AP,no data,no data,2021-11-10 11:21:09.495554
Sony Gold Wireless Headset,no data,no data,2021-11-10 11:21:09.530461
Sony NW-WS413 4Gb,8 847,8 990,2021-11-10 11:21:09.592295
Sony NW-WS623 4Gb,no data,no data,2021-11-10 11:21:09.626204
Sony MDR-RF811RK,5 490,6 409,2021-11-10 11:21:09.686865
Sony WI-1000XM2,14 990,19 990,2021-11-10 11:21:09.752689
